ano,valor_mercado,pl_hist,pl_corrigido
1995,2179232.028853333,5635184.970958333,
1996,3620725.701227917,5475980.083333333,5940284.002748883
1997,4851048.011995417,5723833.666666667,6453370.124226053
1998,2632626.6234729164,5865684.583333333,6563084.530573898
1999,7785233.652699166,5679288.291666667,11706465.392488606
2000,8806667.264740417,6666168.916666667,12100358.434247643
2001,9380842.078084582,7329476.625,9416269.073922168
2002,9803965.65155,8212260.041666667,11466483.634027878
2003,16955389.25256087,10454621.391304348,14811419.808875911
2004,22776272.78950435,12866600.43478261,18074631.299868654
2005,31934185.44945652,15488899.695652174,21215043.82729971
2006,44086669.185156524,18984396.086956523,24499358.110423222
2007,72224899.1558,22493410.52173913,28332228.787341196
2008,40530413.10577916,28013062.666666668,35105524.98503323
2009,66562814.213358335,31052712.541666668,38531012.72720945
2010,73339000.09345417,46160867.875,55276019.68889701
2011,61442819.57665833,51610033.75,63559696.30346703
2012,64714959.863954164,54283183.291666664,67973327.46913846
2013,62350593.764539994,55812042.5,72493235.54943593
2014,54124942.5105075,54209661.083333336,73751248.85436611
2015,45942663.02542292,50125826.0,71405919.72792555
2016,66358929.086185,50518633.0,70201778.22982141
2017,83325342.4037,54555006.0,71141682.19862257
2018,98675954.70655833,58896519.166666664,75237979.34026746
2019,125149357.68318333,62465972.708333336,79095253.37402563
2020,133406528.28320415,68076085.83333333,81696888.94564009
2021,118109867.79329167,78761643.20833333,92115721.6089228
2022,90414050.08349985,52180390.208333336,90709418.20783204
2023,118125730.82611275,57432847.26086956,85469222.77988902
2024,119259307.17185709,59975533.56521739,83017683.0086536
