Ano,Patrimônio_Líquido,Lucro_Líquido,Imobilizado_Líquido,Intangível_Líquido,Valor_de_Mercado,Ticker,Empresa,País,Moeda_Preço,Moeda_DFs
2016,,,,,230334775.75056267,ALTR.LS,ALTRI SGPS,PT,EUR,EUR
2017,,,,,338862819.20957565,ALTR.LS,ALTRI SGPS,PT,EUR,EUR
2018,,,,,405139250.6685257,ALTR.LS,ALTRI SGPS,PT,EUR,EUR
2019,,,,,486908476.60541534,ALTR.LS,ALTRI SGPS,PT,EUR,EUR
2020,,,,,492650660.65597534,ALTR.LS,ALTRI SGPS,PT,EUR,EUR
2021,542108333.0,134673293.0,405755821.0,367268.0,586298858.3192825,ALTR.LS,ALTRI SGPS,PT,EUR,EUR
2022,607686933.0,152534849.0,405260519.0,409552.0,746005434.3338013,ALTR.LS,ALTRI SGPS,PT,EUR,EUR
2023,407422177.0,42786141.0,411827422.0,516126.0,871612098.1564331,ALTR.LS,ALTRI SGPS,PT,EUR,EUR
2024,454921848.0,107204025.0,394684559.0,939316.0,1036632152.6317596,ALTR.LS,ALTRI SGPS,PT,EUR,EUR
2016,,,,,2495443873.4963536,BCP.LS,BANCO COMERCIAL PORTUGUÊS,PT,EUR,EUR
2017,,,,,3680321977.088562,BCP.LS,BANCO COMERCIAL PORTUGUÊS,PT,EUR,EUR
2018,,,,,3105271640.0170135,BCP.LS,BANCO COMERCIAL PORTUGUÊS,PT,EUR,EUR
2019,,,,,2766009604.4972687,BCP.LS,BANCO COMERCIAL PORTUGUÊS,PT,EUR,EUR
2020,,,,,1680337264.038971,BCP.LS,BANCO COMERCIAL PORTUGUÊS,PT,EUR,EUR
2021,6119385000.0,138082000.0,600721000.0,108713000.0,1921749326.581421,BCP.LS,BANCO COMERCIAL PORTUGUÊS,PT,EUR,EUR
2022,5154653000.0,197386000.0,574697000.0,141347000.0,2006218085.567047,BCP.LS,BANCO COMERCIAL PORTUGUÊS,PT,EUR,EUR
